#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
100252.02+412852.0; 0.7745; 1.5e+01; 16.0; 3.43e+08; 7.22e+07;150.71679;+41.48114
100253.16+041855.2; 1.8453; 6.6e+01; 15.9; 7.28e+08; 1.53e+08;150.72153;+04.31536
100254.36+452009.2; 1.6291; 2.6e+01; 20.7; 7.66e+08; 1.61e+08;150.72651;+45.33590
100257.08+041808.4; 1.6643; 4.9e+01; 16.9; 7.04e+08; 1.48e+08;150.73784;+04.30234
100257.46+441959.0; 1.9645; 6.0e+01; 19.7; 1.09e+09; 2.29e+08;150.73942;+44.33307
100257.66+482541.3; 1.9158; 7.6e+01; 19.1; 1.11e+09; 2.35e+08;150.74027;+48.42815
100257.82+504041.8; 1.1484; 4.0e+01; 21.9; 1.06e+09; 2.23e+08;150.74093;+50.67830
100257.93+050807.3; 1.1372; 2.9e+01; 30.1; 1.73e+09; 3.64e+08;150.74139;+05.13537
100258.64+042933.7; 1.2360; 3.7e+01; 23.1; 1.12e+09; 2.36e+08;150.74437;+04.49271
100258.88+530624.4; 1.2407; 3.7e+01; 24.5; 1.28e+09; 2.69e+08;150.74533;+53.10679
100300.65+034725.8; 0.8639; 9.1e+00; 20.8; 4.54e+08; 9.57e+07;150.75272;+03.79050
100301.51+423629.2; 1.6805; 2.3e+01; 19.6; 6.49e+08; 1.37e+08;150.75632;+42.60812
100302.92+015208.5; 1.8001; 3.6e+01; 18.9; 7.45e+08; 1.57e+08;150.76217;+01.86905
100303.49+585818.8; 1.1826; 8.4e+01; 21.5; 1.49e+09; 3.15e+08;150.76455;+58.97191
100303.50+433420.9; 1.6750; 1.9e+01; 18.6; 4.92e+08; 1.04e+08;150.76462;+43.57247
100304.55+444335.9; 1.6301; 5.9e+01; 22.0; 1.33e+09; 2.80e+08;150.76898;+44.72667
100305.74+411032.8; 1.5084; 2.2e+01; 23.0; 8.61e+08; 1.81e+08;150.77395;+41.17579
100306.35+484604.9; 1.7416; 1.2e+02; 24.9; 2.37e+09; 4.99e+08;150.77648;+48.76804
100306.63+464656.0; 1.8452; 6.9e+01; 19.5; 1.06e+09; 2.22e+08;150.77764;+46.78223
100307.70+034242.7; 1.4491; 1.8e+01; 16.9; 4.38e+08; 9.22e+07;150.78210;+03.71188
100309.01+405627.9; 0.9739; 6.0e+00; 18.1; 2.87e+08; 6.05e+07;150.78755;+40.94111
100309.21+022038.3; 1.9555; 1.8e+01; 18.6; 6.62e+08; 1.39e+08;150.78838;+02.34398
100310.66+630840.7; 1.5796; 2.1e+02; 20.3; 2.08e+09; 4.39e+08;150.79444;+63.14464
100311.12+045939.0; 1.8781; 3.4e+01; 20.3; 7.99e+08; 1.68e+08;150.79637;+04.99418
100311.56+505705.1; 1.8384; 5.2e+01; 23.7; 1.39e+09; 2.93e+08;150.79817;+50.95144
100311.71+040204.8; 1.2757; 1.9e+01; 18.8; 5.32e+08; 1.12e+08;150.79881;+04.03468
100312.51+452946.5; 1.9195; 5.0e+01; 22.7; 1.24e+09; 2.61e+08;150.80216;+45.49627
100313.89+082313.9; 1.8384; 8.1e+01; 19.7; 1.24e+09; 2.62e+08;150.80791;+08.38719
100313.92+055641.1; 1.5717; 4.0e+01; 18.0; 7.10e+08; 1.50e+08;150.80804;+05.94476
100315.21+444335.3; 1.7668; 4.4e+01; 21.8; 9.69e+08; 2.04e+08;150.81338;+44.72648
100315.47+414500.7; 1.5927; 7.7e+01; 20.5; 1.24e+09; 2.62e+08;150.81448;+41.75020
100315.85+045852.8; 1.0039; 3.4e+01; 18.6; 7.04e+08; 1.48e+08;150.81607;+04.98134
100320.16+443004.1; 0.7965; 2.7e+01; 19.9; 7.26e+08; 1.53e+08;150.83401;+44.50115
100323.53+420202.3; 1.2126; 1.3e+01; 21.2; 5.81e+08; 1.22e+08;150.84807;+42.03398
100325.30+514100.9; 1.9315; 9.8e+01; 20.0; 1.43e+09; 3.02e+08;150.85545;+51.68359
100326.88+565841.7; 0.8843; 4.5e+00; 20.8; 3.27e+08; 6.89e+07;150.86202;+56.97826
100326.94+592611.6; 1.2073; 1.9e+01; 22.8; 7.84e+08; 1.65e+08;150.86228;+59.43658
100327.37+595804.0; 1.1381; 1.2e+01; 19.6; 4.72e+08; 9.95e+07;150.86406;+59.96779
100327.67+015742.3; 1.0675; 4.3e+01; 14.2; 4.58e+08; 9.65e+07;150.86533;+01.96177
100328.75+432543.4; 1.0670; 1.8e+01; 31.5; 1.45e+09; 3.06e+08;150.86983;+43.42872
100331.12+033437.8; 1.7911; 1.2e+02; 21.9; 1.83e+09; 3.85e+08;150.87970;+03.57719
100331.87+511339.1; 1.9058; 1.8e+02; 21.7; 2.22e+09; 4.68e+08;150.88282;+51.22754
100332.48+492807.1; 1.4487; 9.2e+01; 23.2; 1.79e+09; 3.77e+08;150.88534;+49.46867
100333.56+024530.5; 1.9269; 1.6e+02; 15.2; 1.00e+09; 2.11e+08;150.88987;+02.75848
100333.65+085710.3; 1.8472; 1.4e+02; 19.8; 1.58e+09; 3.33e+08;150.89023;+08.95288
100333.99+024126.3; 0.9880; 1.7e+01; 19.0; 5.18e+08; 1.09e+08;150.89163;+02.69064
100334.72+050232.0; 1.4924; 4.2e+02; 20.3; 2.98e+09; 6.29e+08;150.89469;+05.04224
100335.98+070401.0; 1.8249; 1.5e+02; 18.2; 1.42e+09; 2.99e+08;150.89993;+07.06695
100336.20+510520.3; 1.8542; 1.3e+02; 19.8; 1.50e+09; 3.15e+08;150.90084;+51.08898
100336.40+482754.1; 1.8862; 1.0e+02; 16.9; 1.02e+09; 2.15e+08;150.90169;+48.46504
100336.65+460550.7; 1.6575; 1.7e+02; 18.7; 1.58e+09; 3.33e+08;150.90272;+46.09743
100337.16+490953.7; 0.8602; 1.4e+01; 14.7; 2.81e+08; 5.92e+07;150.90485;+49.16492
100337.43+004233.6; 0.7842; 5.0e+00; 19.2; 2.79e+08; 5.87e+07;150.90600;+00.70935
100338.08+481019.3; 0.8812; 3.8e+01; 22.4; 1.09e+09; 2.29e+08;150.90869;+48.17204
100341.59+552141.7; 1.6747; 4.8e+01; 19.1; 9.21e+08; 1.94e+08;150.92331;+55.36161
100343.50+080159.9; 1.0412; 2.4e+01; 22.4; 8.64e+08; 1.82e+08;150.93127;+08.03331
100343.82+544741.5; 1.0408; 2.5e+01; 19.3; 6.47e+08; 1.36e+08;150.93262;+54.79486
100345.97+582506.5; 1.9025; 1.6e+02; 21.6; 2.00e+09; 4.22e+08;150.94155;+58.41849
100346.63+425451.4; 1.0237; 3.8e+01; 16.8; 6.05e+08; 1.27e+08;150.94432;+42.91430
100347.51+454520.6; 1.8739; 5.8e+01; 19.0; 9.87e+08; 2.08e+08;150.94797;+45.75574
100350.28+013145.7; 1.1884; 2.5e+01; 23.6; 9.80e+08; 2.06e+08;150.95951;+01.52937
100350.69+525352.2; 1.3353; 4.4e+01; 28.9; 1.92e+09; 4.05e+08;150.96125;+52.89784
100353.64+522546.5; 1.8768; 1.6e+01; 17.1; 4.44e+08; 9.36e+07;150.97352;+52.42960
100354.37+415250.0; 1.7537; 3.3e+01; 14.8; 4.45e+08; 9.36e+07;150.97658;+41.88058
100354.65+593453.6; 0.8967; 5.3e+00; 16.6; 2.28e+08; 4.80e+07;150.97771;+59.58158
100356.77+033801.1; 1.3410; 2.8e+01; 22.2; 9.09e+08; 1.92e+08;150.98656;+03.63366
100357.18+022638.8; 1.4830; 5.2e+01; 17.8; 7.89e+08; 1.66e+08;150.98826;+02.44412
100358.35+074857.3; 1.8949; 7.6e+01; 19.9; 1.23e+09; 2.60e+08;150.99317;+07.81594
100358.47+611533.3; 1.5649; 7.3e+01; 16.8; 8.34e+08; 1.76e+08;150.99365;+61.25926
100358.73+014513.6; 1.4169; 1.3e+01; 17.8; 3.75e+08; 7.90e+07;150.99473;+01.75379
100359.22+575847.5; 1.4243; 5.7e+01; 16.5; 7.31e+08; 1.54e+08;150.99675;+57.97988
100359.84+502941.2; 0.9297; 2.3e+01; 17.6; 5.19e+08; 1.09e+08;150.99936;+50.49478
100400.05+623001.1; 1.1934; 5.2e+01; 17.9; 7.98e+08; 1.68e+08;151.00022;+62.50032
100400.98+055638.3; 0.7919; 5.3e+00; 19.5; 3.00e+08; 6.32e+07;151.00410;+05.94399
100401.27+423123.0; 1.6533; 4.8e+02; 20.4; 3.19e+09; 6.72e+08;151.00532;+42.52306
100401.67+573647.2; 1.8318; 2.2e+01; 19.3; 5.98e+08; 1.26e+08;151.00698;+57.61312
100402.93+434116.8; 1.5231; 4.3e+01; 19.8; 9.11e+08; 1.92e+08;151.01225;+43.68801
100403.62+034401.2; 1.8702; 8.8e+01; 18.8; 1.13e+09; 2.39e+08;151.01510;+03.73369
100407.21+012038.9; 1.8500; 2.4e+01; 16.7; 5.14e+08; 1.08e+08;151.03007;+01.34416
100407.71+585418.8; 1.8059; 1.2e+02; 17.3; 1.14e+09; 2.40e+08;151.03215;+58.90523
100409.28+024946.4; 1.5990; 4.2e+01; 15.3; 5.52e+08; 1.16e+08;151.03869;+02.82956
100411.15+620722.3; 1.7163; 2.8e+01; 19.8; 7.17e+08; 1.51e+08;151.04649;+62.12288
100411.17+444315.0; 1.3478; 2.9e+01; 16.8; 5.34e+08; 1.12e+08;151.04655;+44.72084
100411.24+004318.7; 0.9020; 3.8e+00; 13.4; 1.29e+08; 2.72e+07;151.04684;+00.72186
100411.47+622910.4; 1.0812; 2.8e+01; 15.9; 4.73e+08; 9.96e+07;151.04782;+62.48624
100411.85+532106.1; 1.8983; 6.0e+01; 18.0; 8.91e+08; 1.88e+08;151.04941;+53.35171
100412.02+440028.7; 1.8674; 6.8e+01; 18.7; 1.07e+09; 2.25e+08;151.05011;+44.00800
100412.12+092010.6; 1.2179; 4.7e+01; 26.5; 1.69e+09; 3.56e+08;151.05052;+09.33629
100412.87+040044.4; 1.8741; 3.6e+01; 10.4; 2.11e+08; 4.45e+07;151.05364;+04.01235
100413.35+034844.0; 1.4818; 1.8e+01; 16.0; 3.68e+08; 7.76e+07;151.05565;+03.81223
100414.25+551010.9; 1.3453; 1.4e+02; 20.0; 1.65e+09; 3.47e+08;151.05942;+55.16972
100414.52+621948.7; 1.6438; 1.4e+02; 18.9; 1.47e+09; 3.09e+08;151.06051;+62.33021
100415.17+415802.6; 1.0136; 2.1e+01; 21.7; 7.34e+08; 1.55e+08;151.06321;+41.96740
100415.30+042843.3; 1.4293; 4.2e+01; 21.0; 1.01e+09; 2.13e+08;151.06377;+04.47872
100416.02+423558.6; 0.8284; 3.5e+01; 21.7; 9.76e+08; 2.06e+08;151.06678;+42.59961
100416.05+632912.6; 1.2356; 1.8e+02; 23.4; 2.55e+09; 5.36e+08;151.06690;+63.48685
100417.41+063528.8; 1.1374; 5.2e+01; 27.6; 1.90e+09; 3.99e+08;151.07254;+06.59136
100418.35+535341.7; 1.0202; 3.9e+01; 26.8; 1.58e+09; 3.32e+08;151.07646;+53.89494
100419.76+445204.8; 1.8414; 7.9e+00; 15.0; 2.75e+08; 5.79e+07;151.08236;+44.86801
100421.01+013647.3; 1.0384; 4.0e+01; 17.6; 6.88e+08; 1.45e+08;151.08757;+01.61316
100423.49+030658.8; 0.9143; 2.0e+01; 25.3; 1.01e+09; 2.13e+08;151.09788;+03.11634
100425.66+444406.7; 1.7658; 3.2e+01; 17.0; 4.98e+08; 1.05e+08;151.10693;+44.73521
100425.93+064227.2; 1.0648; 4.1e+01; 17.2; 6.60e+08; 1.39e+08;151.10805;+06.70756
100427.28+595817.8; 1.7771; 3.3e+01; 17.4; 5.58e+08; 1.17e+08;151.11370;+59.97162
100427.37+413903.6; 1.3005; 1.4e+01; 23.0; 7.10e+08; 1.50e+08;151.11405;+41.65101
100429.00+025209.2; 0.8786; 3.5e+01; 16.6; 5.81e+08; 1.22e+08;151.12084;+02.86923
100430.28+053611.1; 1.9259; 6.3e+01; 14.7; 6.02e+08; 1.27e+08;151.12619;+05.60309
100431.60-004919.2; 1.6368; 1.6e+02; 19.2; 1.62e+09; 3.41e+08;151.13169;-00.82201
100434.31+554222.1; 1.9317; 1.1e+02; 18.1; 1.18e+09; 2.48e+08;151.14297;+55.70615
100434.37+025011.0; 1.2154; 5.2e+01; 22.2; 1.25e+09; 2.64e+08;151.14322;+02.83640
100434.91+411242.8; 1.7399; 8.7e+01; 21.8; 1.54e+09; 3.25e+08;151.14549;+41.21189
100437.19+634931.2; 0.8463; 1.4e+01; 12.3; 1.83e+08; 3.87e+07;151.15496;+63.82536
100438.66+044939.5; 1.5161; 1.3e+02; 17.0; 1.15e+09; 2.43e+08;151.16110;+04.82766
100439.07+452929.3; 1.1869; 4.2e+01; 18.5; 7.67e+08; 1.61e+08;151.16280;+45.49147
100439.42+580821.1; 0.8813; 4.2e+00; 20.1; 2.81e+08; 5.93e+07;151.16428;+58.13921
100440.81+430521.7; 1.5939; 1.7e+01; 18.5; 4.74e+08; 9.99e+07;151.17008;+43.08938
100440.98+410944.1; 1.0223; 4.3e+01; 15.7; 5.53e+08; 1.17e+08;151.17076;+41.16226
100441.78+423235.3; 1.8844; 1.3e+02; 21.6; 1.86e+09; 3.91e+08;151.17410;+42.54317
100441.92+030914.3; 1.2708; 1.5e+01; 23.3; 7.36e+08; 1.55e+08;151.17467;+03.15398
100444.59+035841.8; 1.7845; 4.0e+01; 21.4; 1.03e+09; 2.17e+08;151.18581;+03.97829
100447.82+493454.9; 1.7767; 9.5e+01; 20.0; 1.35e+09; 2.84e+08;151.19926;+49.58193
100451.50+441234.4; 1.7619; 3.1e+01; 18.4; 6.79e+08; 1.43e+08;151.21460;+44.20957
100451.56+454456.8; 1.7822; 3.7e+01; 23.2; 1.08e+09; 2.28e+08;151.21487;+45.74913
100453.45+071638.7; 0.8113; 3.0e+01; 20.0; 7.68e+08; 1.62e+08;151.22273;+07.27743
100453.50+042404.6; 1.2910; 2.7e+01; 30.0; 1.65e+09; 3.47e+08;151.22293;+04.40130
100454.17+064134.6; 1.8529; 6.2e+01; 23.6; 1.55e+09; 3.27e+08;151.22573;+06.69297
100454.32+423317.9; 1.6616; 2.2e+01; 19.4; 6.50e+08; 1.37e+08;151.22635;+42.55500
100454.68+470135.4; 1.6268; 3.9e+01; 24.0; 1.28e+09; 2.70e+08;151.22784;+47.02652
100459.51+580411.7; 1.0712; 4.4e+01; 31.2; 2.25e+09; 4.73e+08;151.24797;+58.06992
100500.79+463441.2; 0.8921; 9.2e+00; 17.0; 3.16e+08; 6.66e+07;151.25329;+46.57814
100502.34+465927.3; 0.9548; 1.4e+02; 21.3; 1.87e+09; 3.95e+08;151.25978;+46.99093
100502.46+031259.7; 0.9788; 4.9e+00; 23.9; 5.22e+08; 1.10e+08;151.26028;+03.21659
100503.75+441723.5; 0.9570; 1.1e+01; 25.7; 7.63e+08; 1.61e+08;151.26564;+44.28986
100503.82+091724.1; 1.3609; 7.5e+01; 18.2; 1.01e+09; 2.13e+08;151.26593;+09.29004
100504.45+413332.8; 1.8622; 8.8e+01; 17.4; 8.95e+08; 1.89e+08;151.26858;+41.55912
100504.88+480704.0; 1.4033; 4.7e+01; 20.4; 9.94e+08; 2.09e+08;151.27036;+48.11779
100506.13+041931.4; 1.2131; 1.6e+01; 21.6; 6.61e+08; 1.39e+08;151.27557;+04.32541
100506.26+485848.7; 0.8561; 8.0e+00; 19.8; 3.94e+08; 8.29e+07;151.27611;+48.98021
100506.55-011307.4; 1.4635; 6.8e+01; 22.0; 1.41e+09; 2.97e+08;151.27730;-01.21873
100506.57+532233.1; 1.3099; 6.3e+01; 18.1; 9.19e+08; 1.94e+08;151.27740;+53.37587
100507.52+041027.0; 1.3856; 6.3e+01; 21.6; 1.29e+09; 2.72e+08;151.28135;+04.17419
100508.02+035411.2; 1.5533; 2.3e+01; 18.1; 5.38e+08; 1.13e+08;151.28344;+03.90313
100510.15+022557.7; 1.3902; 8.0e+01; 16.2; 8.19e+08; 1.72e+08;151.29230;+02.43272
100513.75+024510.2; 1.4840; 1.3e+02; 18.2; 1.34e+09; 2.82e+08;151.30732;+02.75285
100514.22+031727.2; 1.3834; 2.9e+01; 21.4; 8.65e+08; 1.82e+08;151.30927;+03.29091
100514.77+005341.0; 0.9454; 2.1e+01; 23.6; 8.82e+08; 1.86e+08;151.31155;+00.89474
100515.83+522000.6; 1.3169; 2.7e+01; 15.5; 4.27e+08; 9.01e+07;151.31596;+52.33352
100517.50+434043.9; 1.5899; 4.0e+01; 17.6; 7.18e+08; 1.51e+08;151.32293;+43.67888
100519.40+030123.6; 0.9720; 1.1e+01; 17.8; 3.80e+08; 8.01e+07;151.33084;+03.02323
100521.26+041145.2; 1.4891; 1.6e+01; 17.5; 4.28e+08; 9.01e+07;151.33858;+04.19591
100522.66+562622.2; 0.7898; 1.3e+01; 13.5; 2.31e+08; 4.87e+07;151.34443;+56.43950
100523.31+024536.0; 1.4852; 2.2e+01; 16.0; 4.28e+08; 9.02e+07;151.34715;+02.76002
100525.95+610743.3; 1.3864; 3.9e+01; 14.6; 4.76e+08; 1.00e+08;151.35814;+61.12872
100529.37+465936.2; 1.8585; 1.8e+02; 17.6; 1.49e+09; 3.14e+08;151.37241;+46.99340
100530.60+610257.1; 1.2176; 5.6e+01; 19.1; 9.42e+08; 1.98e+08;151.37752;+61.04920
100530.98+473440.6; 1.3020; 1.1e+01; 24.3; 6.97e+08; 1.47e+08;151.37912;+47.57796
100532.56+004155.9; 1.7143; 3.9e+01; 15.5; 5.20e+08; 1.10e+08;151.38567;+00.69887
100533.41+055128.6; 1.3257; 3.3e+02; 20.2; 2.58e+09; 5.44e+08;151.38923;+05.85797
100534.20+603428.7; 1.4222; 4.1e+01; 16.2; 6.14e+08; 1.29e+08;151.39253;+60.57466
100534.44+021016.0; 1.8221; 4.5e+01; 17.4; 7.05e+08; 1.49e+08;151.39353;+02.17114
100535.24+013445.7; 1.0779; 2.7e+02; 16.7; 1.59e+09; 3.34e+08;151.39686;+01.57937
100535.55+434401.0; 1.8766; 2.6e+01; 21.2; 7.67e+08; 1.61e+08;151.39815;+43.73363
100538.04+043520.8; 0.9313; 1.1e+01; 23.7; 6.43e+08; 1.36e+08;151.40854;+04.58912
100538.30+052831.0; 1.3756; 8.1e+01; 18.7; 1.10e+09; 2.33e+08;151.40961;+05.47530
100538.51+570744.0; 1.8662; 8.6e+01; 20.3; 1.36e+09; 2.87e+08;151.41049;+57.12889
100538.76+042121.9; 0.8290; 9.3e+00; 12.9; 1.71e+08; 3.61e+07;151.41151;+04.35609
100539.52+415700.3; 1.0907; 6.1e+00; 18.3; 2.94e+08; 6.19e+07;151.41467;+41.95011
100539.87+040914.7; 1.3545; 1.8e+01; 21.5; 6.58e+08; 1.39e+08;151.41614;+04.15409
100542.55+440724.7; 1.0933; 8.9e+01; 19.5; 1.26e+09; 2.65e+08;151.42730;+44.12355
100543.42-005559.9; 1.7125; 5.5e+01; 17.6; 8.25e+08; 1.74e+08;151.43093;-00.93331
100544.35+030905.0; 1.9433; 4.9e+01; 14.3; 5.45e+08; 1.15e+08;151.43480;+03.15141
100546.86+030116.3; 0.8999; 7.4e+00; 19.3; 3.50e+08; 7.38e+07;151.44525;+03.02120
100547.08+600644.1; 1.0633; 1.4e+01; 20.2; 5.35e+08; 1.13e+08;151.44620;+60.11226
100549.47+510400.7; 1.4181; 1.2e+02; 19.2; 1.37e+09; 2.89e+08;151.45615;+51.06687
100549.58+424457.0; 0.7882; 8.4e+00; 22.2; 5.18e+08; 1.09e+08;151.45658;+42.74919
100549.71+462148.7; 1.7827; 2.6e+01; 22.4; 9.03e+08; 1.90e+08;151.45716;+46.36355
100552.24+025902.4; 0.9036; 3.0e+01; 22.1; 9.43e+08; 1.99e+08;151.46770;+02.98401
100552.81+520229.2; 1.7500; 2.2e+01; 22.2; 7.99e+08; 1.68e+08;151.47007;+52.04146
100553.22+023556.3; 1.0686; 4.9e+01; 15.8; 6.12e+08; 1.29e+08;151.47178;+02.59898
100554.02+471508.9; 1.4316; 6.5e+01; 17.1; 8.21e+08; 1.73e+08;151.47512;+47.25249
100554.08+082310.1; 1.4984; 5.0e+01; 17.5; 7.49e+08; 1.58e+08;151.47536;+08.38615
100556.01+433238.5; 1.5866; 2.2e+01; 15.2; 3.41e+08; 7.18e+07;151.48341;+43.54403
100558.00+080313.9; 1.6640; 6.4e+01; 16.4; 7.56e+08; 1.59e+08;151.49167;+08.05389
100559.71+630217.8; 1.2662; 4.0e+01; 20.2; 9.11e+08; 1.92e+08;151.49881;+63.03830
100602.62+031449.3; 1.5508; 2.8e+01; 21.3; 8.80e+08; 1.85e+08;151.51092;+03.24704
100604.09+032248.9; 1.1731; 8.1e+00; 15.7; 2.51e+08; 5.30e+07;151.51705;+03.38026
100604.29+063847.1; 1.4273; 6.3e+01; 18.3; 9.34e+08; 1.97e+08;151.51788;+06.64643
100605.32+511324.4; 1.8099; 1.5e+02; 17.0; 1.24e+09; 2.61e+08;151.52217;+51.22345
100605.66+051349.0; 0.9706; 2.2e+01;  7.0; 7.80e+07; 1.64e+07;151.52362;+05.23028
100607.16+625320.2; 1.8452; 6.0e+01; 19.1; 9.60e+08; 2.02e+08;151.52985;+62.88896
100608.10+643512.8; 1.5027; 1.2e+02; 18.0; 1.26e+09; 2.66e+08;151.53375;+64.58691
100610.68+071618.3; 1.8475; 9.2e+01; 42.1; 6.16e+09; 1.30e+09;151.54453;+07.27175
100610.88+491045.2; 1.2945; 6.3e+01; 18.6; 9.60e+08; 2.02e+08;151.54536;+49.17924
100611.72+035534.4; 1.8353; 4.4e+01; 16.9; 6.82e+08; 1.44e+08;151.54887;+03.92624
100612.79+081721.2; 1.4345; 6.1e+01; 14.6; 5.74e+08; 1.21e+08;151.55330;+08.28923
100613.27+040035.9; 1.2620; 3.2e+01; 17.5; 6.06e+08; 1.28e+08;151.55532;+04.01000
100615.27+571125.1; 0.8869; 2.2e+01; 18.7; 5.82e+08; 1.23e+08;151.56365;+57.19031
100617.11+450208.0; 1.1598; 1.3e+01; 17.8; 3.92e+08; 8.25e+07;151.57131;+45.03558
100618.15+013510.6; 1.6746; 2.4e+01; 15.3; 4.03e+08; 8.49e+07;151.57563;+01.58628
100619.87+414523.3; 1.2356; 3.4e+01; 21.6; 9.46e+08; 1.99e+08;151.58282;+41.75648
100620.00+624504.5; 1.8372; 2.7e+01; 18.9; 6.72e+08; 1.42e+08;151.58335;+62.75126
100620.24+610650.0; 1.5615; 1.4e+01; 18.9; 4.80e+08; 1.01e+08;151.58437;+61.11389
100620.97+041244.8; 1.5634; 2.4e+02; 17.6; 1.70e+09; 3.58e+08;151.58740;+04.21245
100621.09+441442.3; 1.6687; 2.3e+01; 25.1; 1.09e+09; 2.30e+08;151.58790;+44.24508
100623.58+004141.0; 1.9186; 9.0e+01; 17.7; 1.07e+09; 2.25e+08;151.59826;+00.69475
100624.82+610934.0; 1.4590; 1.6e+01; 14.9; 3.00e+08; 6.31e+07;151.60342;+61.15945
100626.28+461332.8; 1.0144; 8.3e+00; 20.9; 4.30e+08; 9.05e+07;151.60951;+46.22580
100626.49+065155.1; 1.5855; 9.8e+01; 18.5; 1.15e+09; 2.43e+08;151.61039;+06.86533
100628.09+423623.1; 0.9085; 1.0e+01; 23.8; 6.18e+08; 1.30e+08;151.61705;+42.60643
100629.82+004047.6; 0.7726; 2.3e+01; 15.6; 4.09e+08; 8.62e+07;151.62429;+00.67989
100632.13+622715.8; 1.4047; 1.8e+01; 18.6; 5.12e+08; 1.08e+08;151.63388;+62.45442
100632.56+620138.1; 1.1160; 2.0e+01; 23.8; 9.06e+08; 1.91e+08;151.63568;+62.02728
100633.64+443500.7; 1.4988; 4.6e+01; 21.9; 1.15e+09; 2.42e+08;151.64018;+44.58353
100634.05+470607.1; 1.0257; 1.3e+01; 57.6; 4.24e+09; 8.93e+08;151.64189;+47.10199
100635.99+074451.4; 1.3385; 4.0e+01; 23.1; 1.18e+09; 2.48e+08;151.64998;+07.74762
100636.08+412201.6; 1.9624; 3.7e+01; 21.1; 8.74e+08; 1.84e+08;151.65037;+41.36712
100636.23+413037.1; 1.8404; 4.4e+01; 20.0; 9.54e+08; 2.01e+08;151.65097;+41.51033
100636.62+500008.9; 1.4847; 3.9e+01; 17.9; 7.24e+08; 1.53e+08;151.65259;+50.00248
100638.80+563730.9; 1.4257; 9.2e+01; 16.9; 9.82e+08; 2.07e+08;151.66170;+56.62525
100638.86+421838.4; 1.3439; 2.7e+01; 21.0; 7.94e+08; 1.67e+08;151.66195;+42.31068
100641.32+081149.6; 1.4906; 4.9e+01; 21.4; 1.14e+09; 2.40e+08;151.67218;+08.19713
100642.05+001549.6; 0.8794; 1.6e+01; 23.5; 7.62e+08; 1.61e+08;151.67522;+00.26380
100644.14+462601.7; 1.4483; 5.2e+01; 17.8; 7.90e+08; 1.66e+08;151.68396;+46.43381
100644.89+064840.6; 1.9690; 2.1e+02; 18.3; 1.59e+09; 3.35e+08;151.68708;+06.81129
100649.02+061628.0; 1.6415; 8.0e+01; 18.9; 1.11e+09; 2.35e+08;151.70429;+06.27445
100650.37+463820.7; 0.8985; 3.0e+01; 18.4; 6.50e+08; 1.37e+08;151.70991;+46.63910
100652.08+090637.8; 1.8528; 7.8e+01; 19.6; 1.19e+09; 2.51e+08;151.71701;+09.11051
100652.20+075225.2; 1.0251; 3.2e+01; 31.5; 1.93e+09; 4.07e+08;151.71753;+07.87369
100653.84+043952.8; 1.0600; 2.8e+01; 14.9; 4.07e+08; 8.57e+07;151.72435;+04.66467
100654.34+540543.0; 1.4452; 7.6e+01; 18.3; 1.03e+09; 2.16e+08;151.72645;+54.09529
100657.08+004512.3; 1.6144; 1.8e+01; 18.7; 5.56e+08; 1.17e+08;151.73785;+00.75344
